Date,Salary,Social,Materials,Equipment,Overheads,Amount
2016-01-28,4607,1020,5398,2074,2988,16087
2016-02-28,4747,1084,5239,2045,2912,16027
2016-03-28,4524,1046,5175,2098,1441,14284
2016-04-28,4725,1074,5171,2033,1485,14488
2016-05-28,4767,1022,5379,2058,1477,14703
2016-06-28,4517,1084,5371,2019,1487,14478
2016-07-28,4597,1058,5202,2075,1427,14359
2016-08-28,4876,1088,5385,2083,1406,14838
2016-09-28,4713,1066,5357,2091,1461,14688
2016-10-28,4698,1044,5352,2042,1463,14599
2016-11-28,4537,1082,5128,2071,1455,14273
2016-12-28,4757,1010,5204,2098,2928,15997
2017-01-28,4619,1040,5345,2044,2674,15722
2017-02-28,4845,1007,5011,2015,2832,15710
2017-03-28,4554,1077,5056,2037,1466,14190
2017-04-28,4821,1093,5334,2023,1468,14739
2017-05-28,4997,1050,5241,2033,1434,14755
2017-06-28,4576,1000,5240,2045,1458,14319
2017-07-28,4597,1069,5254,2010,1404,14334
2017-08-28,4814,1005,5289,2078,1457,14643
2017-09-28,4861,1060,5278,2039,1473,14711
2017-10-28,4518,1081,5177,2057,1469,14302
2017-11-28,4842,1048,5315,2099,1489,14793
2017-12-28,4739,1079,5183,2018,2804,15823
